Log file created at: 2023-08-15 21:02:55 1729 139651640330368
2023-08-15 21:04:06 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 21:28:02 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 22:18:34 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 22:18:41 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 22:18:43 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 22:18:43 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 22:18:43 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 22:18:44 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 22:18:44 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 22:18:45 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-15 22:18:45 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 01:03:25 1729 139651640330368 client/client.cc(358) LOG(ERROR) Session id is void. re-issue session id
2023-08-16 01:37:23 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 01:37:33 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 01:37:46 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 01:38:14 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 01:38:16 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 01:38:38 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 01:38:59 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 01:39:26 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 01:39:32 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:21:46 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:21:47 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:21:48 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:36:24 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:36:47 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:36:48 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:36:48 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:36:49 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:37:54 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:37:54 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:38:32 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:38:34 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:43:24 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:44:41 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:44:42 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 02:44:55 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:00:07 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:00:08 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:00:09 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:00:12 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:00:17 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
